species,words
Abies concolor, concolor — Colorado white fir or Rocky Mountains white fir
Abies concolor," In the United States, at altitudes of 1,700–3,400 m (5,600–11,200 ft) in the Rocky Mountains from southern Idaho, south through Utah and Colorado, to New Mexico and Arizona, and on the higher Great Basin mountains of Nevada and extreme southeastern California, and a short distance into northern Sonora, Mexico"
Abies concolor," A smaller tree to 25–35 m (80–115 ft) tall, rarely 45 m (150 ft)"
Abies concolor, Foliage strongly upcurved to erect on all except weak shaded shoots in the lower crown; leaves mostly 3
Abies concolor,"5–6 cm (1 3⁄8–2 3⁄8 in), and strongly glaucous on the upper side with numerous stomata"
Abies concolor, Tolerates winter temperatures down to about −40 °C (−40 °F)
Abies concolor,"


=== Abies concolor subsp"
Abies concolor," lowiana ===
Abies concolor subsp"
Abies concolor, lowiana (syn
Abies concolor, Abies lowiana) — Low's white fir or Sierra Nevada white fir
Abies concolor," In the United States, at altitudes of 900–2,300 m (3,000–7,500 ft)  from the Cascades of central Oregon south through California (Klamath Mountains, Sierra Nevada) to northern Baja California, Mexico"
Abies concolor, A larger tree to 40–60 m (130–195 ft) tall
Abies concolor," Foliage flattened on lower crown shoots, the leaves often raised above the shoot on upper crown shoots but not often strongly upcurved; leaves mostly 2"
Abies concolor,"5–5 cm (1–2 in), and only weakly glaucous on the upper side with few or no stomata"
Abies concolor, Tolerates winter temperatures down to about −30 °C (−22 °F)
Abies concolor, The United States Department of Agriculture plants database describes this subspecies as the full species Sierra white fir - Abies lowiana (Gordon & Glend
Abies concolor,) A
Abies concolor, Murray bis
Abies concolor,"


=== Related species ===
White fir is very closely related to grand fir (Abies grandis), with subspecies lowiana being particularly similar to the interior variety of grand fir A"
Abies concolor, grandis var
Abies concolor," idahoensis, intergrading with it where they meet in the Cascades of central Oregon"
Abies concolor," To the south in Mexico, it is replaced by further close relatives, Durango fir (A"
Abies concolor, durangensis) and Mexican fir (A
Abies concolor, mexicana)
Abies concolor,"


== Forest succession ==
White fir is a shade tolerant, climax species, which means the forest has reached complex maturity in forest succession in western coniferous forests of the United States"
Abies concolor, White fir and yellow pine (ponderosa pine/Jeffrey pine) have co-existed for millennia in old growth forests throughout their range
Abies concolor," In the presence of logging of large diameter trees and exclusion of cleansing wildfires, young trees have become abundant over the past two centuries"
Abies concolor," White fir had been regarded as a pest in the past by those in the lumber industry, but this opinion has changed"
Abies concolor, White fir is now one of the most important of all commercial softwoods according to the Western Wood Products Association
Abies concolor,The white fir trait of retaining lower limbs creates an escape route for medium to small forest birds (spotted owl) from larger flying predators and provides a drip zone around the roots for collecting moisture
Abies concolor, The retained limbs can become a fire ladder that allow flames to climb up to the canopy
Abies concolor," Limbing-up white fir, instead of removing medium to large diameter trees, in areas where the public is more likely to start fires can help keep other trees and specifically giant sequoia from experiencing canopy fire"
Abies concolor, Recent concern for sequoia groves has caused agencies to call for removal of white fir in the Sierra Nevada
Abies concolor," While sequoia seedlings and young saplings are highly susceptible to mortality or serious injury by fire; mature sequoias are fire adapted with: fire resistant bark, elevated canopies, self-pruning lower branches, latent buds, and serotinous cones"
Abies concolor, The sequoia ecosystem is incomplete without the mixed pine/fir and oak that make up the mid and understory
Abies concolor, Giant Sequoia's cones release seeds when the heat of fire triggers them to open while the thick bark protects the inner cambium from fire damage
Abies concolor,"


== Botanical Collection ==
White fir was first collected by Augustus Fendler on his expedition to the Santa Fe area of New Mexico in 1846–1847"
Abies concolor," Fender's patron George Engelmann, a St"
Abies concolor," Louis area physician and botanist, then described the plant"
Abies concolor," This tree was first collected in California by William Lobb on his expedition to California of 1849–1853, after it was overlooked by David Douglas in his 1825-27 expedition to the Pacific coast region"
Abies concolor,"


== Ecology ==
This tree is host to fir mistletoe (Phoradendron pauciflorum), a parasitic plant"
Abies concolor," It is attacked by many types of insects, such as the fir engraver (Scolytus ventralis)"
Abies concolor,"


=== Dependent species ===
Mature white fir–yellow pine forests support old-growth dependent wildlife species such as California spotted owl (Strix occidentalis occidentalis), Mount Pinos sooty grouse (Dendragapus fuliginosus howardi), and Pacific fisher (Pekania pennanti)"
Abies concolor, The spotted owl and fisher utilize cavities in decadent large diameter white fir for nesting and denning
Abies concolor, The Mount Pinos sooty grouse requires large diameter trees for thermal cover and its winter diet consists of mostly white fir and yellow pine needles
Abies concolor, This subspecies of sooty grouse has been extirpated along with a significant number of large diameter white fir from much of its range
Abies concolor," Other subspecies of sooty grouse also utilize Douglas fir, which does not occur in the range of Mount Pinos sooty grouse"
Abies concolor, Squirrel also frequent the tree's branches
Abies concolor,Deer browse the foliage of this species and porcupines chew the bark
Abies concolor," Songbirds, grouse, and various mammals eat the seeds"
Abies concolor,"


== Uses ==

White fir is a preferred construction species because of its nail-holding ability, lightness in weight, and resistance to split, twist, and pitch"
Abies concolor," It is straight-grained, non-resinous, fine-textured, stiff, and strong"
Abies concolor,"White fir is popular as a Christmas tree and for Christmas decoration owing to its soft needles, generally excellent needle retention and abundance"
Abies concolor, It is often marketed as concolor or white fir
Abies concolor,"


=== Cultivation ===
White fir is widely planted as an ornamental tree in parks and larger gardens, particularly some cultivars of subsp"
Abies concolor," concolor selected for very bright glaucous blue foliage, such as cv"
Abies concolor, 'Violacea'
Abies concolor," The dwarf cultivar 'Compacta', growing to a maximum height and spread of 2"
Abies concolor,5 m (8
Abies concolor,"2 ft), has gained the Royal Horticultural Society's Award of Garden Merit"
Abies concolor,"


== Gallery ==

		
		
		
		
		
		
		


== References ==


== Further reading ==
Chase, J"
Abies concolor, Smeaton (1911)
Abies concolor, Cone-bearing Trees of the California Mountains
Abies concolor, Chicago: A
Abies concolor, C
Abies concolor, McClurg & Co
Abies concolor, pp
Abies concolor, 99
Abies concolor, LCCN 11004975
Abies concolor, OCLC 3477527
Abies concolor, LCC QK495
Abies concolor,"C75 C4, with illustrations by Carl Eytel - Kurut, Gary F"
Abies concolor," (2009), ""Carl Eytel: Southern California Desert Artist"", California State Library Foundation, Bulletin No"
Abies concolor," 95, pp"
Abies concolor," 17-20 retrieved November 13, 2011
Laacke, Robert J"
Abies concolor, (1990)
Abies concolor," ""Abies concolor"""
Abies concolor,"  In Burns, Russell M"
Abies concolor,"; Honkala, Barbara H"
Abies concolor, (eds
Abies concolor,)
Abies concolor, Conifers
Abies concolor, Silvics of North America
Abies concolor," Washington, D"
Abies concolor,C
Abies concolor,": United States Forest Service (USFS), United States Department of Agriculture (USDA)"
Abies concolor, 1 – via Southern Research Station (www
Abies concolor,srs
Abies concolor,fs
Abies concolor,fed
Abies concolor,us)
Abies concolor,"


== External links ==
Jepson Manual Treatment: Abies concolor
Gymnosperm Database: Abies concolor — (treated as varieties of one species)"
Abies concolor,"
Interactive Distribution Map of Abies concolor
USDA Plants Profile for Abies concolor (white fir)
Conifers Around the World: Abies concolor - Rocky Mountain White Fir"
Abies concolor,
Abies nordmanniana,"Abies nordmanniana, the Nordmann fir or Caucasian fir, is a fir indigenous to the mountains south and east of the Black Sea, in Turkey, Georgia and the Russian Caucasus"
Abies nordmanniana," It occurs at altitudes of 900–2,200 m on mountains with precipitation of over 1,000 mm"
Abies nordmanniana,"
The current distribution of the Nordmann fir is associated with the forest refugia that existed during the Ice Age at the eastern and southern Black Sea coast"
Abies nordmanniana," In spite of currently suitable climate, the species is not found in areas of the Eastern Greater Caucasus, which are separated from the Black Sea Coast by more than 400–500 km"
Abies nordmanniana,"


== Description ==
It is a large evergreen coniferous tree growing to 55–61 m tall and with a trunk diameter of up to 2 m"
Abies nordmanniana," In the Western Caucasus Reserve, some specimens have been reported to be 78 m (256 ft) and even 85 m (279 ft) tall, the tallest trees in the Caucasus, Anatolia, the Russian Federation and the continent of Europe"
Abies nordmanniana,"
The leaves are needle-like, flattened, 1"
Abies nordmanniana,8–3
Abies nordmanniana,5 cm long and 2 mm wide by 0
Abies nordmanniana,"5 mm thick, glossy dark green above, and with two blue-white bands of stomata below"
Abies nordmanniana," The tip of the leaf is usually blunt, often slightly notched at the tip, but can be pointed, particularly on strong-growing shoots on young trees"
Abies nordmanniana," The cones are 10–20 cm long and 4–5 cm broad, with about 150–200 scales, each scale with an exserted bract and two winged seeds; they disintegrate when mature to release the seeds"
Abies nordmanniana,"


== Taxonomy ==
The species is named by Christian von Steven after his compatriot, the Finnish zoologist Alexander von Nordmann (1803–1866), who was the director of the Odessa Botanical Gardens"
Abies nordmanniana,"


=== Subspecies ===
There are two subspecies (treated as distinct species by some botanists), intergrading where they meet in northern Turkey at about 36°E longitude:

Caucasian fir Abies nordmanniana subsp"
Abies nordmanniana, nordmanniana
Abies nordmanniana, Native to the Caucasus mountains and northeastern Turkey west to about 36°E
Abies nordmanniana, Shoots often pubescent (hairy)
Abies nordmanniana,"
Turkish fir Abies nordmanniana subsp"
Abies nordmanniana, equi-trojani (syn
Abies nordmanniana, A
Abies nordmanniana," bornmuelleriana, A"
Abies nordmanniana, equi-trojani)
Abies nordmanniana, In Turkey this subspecies is treated as a distinct species (Abies equitrojani Asch
Abies nordmanniana, & Sint
Abies nordmanniana, ex Bois
Abies nordmanniana,)
Abies nordmanniana," It is endemic to a single location on Kaz Dağı (Mount Ida) eastwards to about 36°E in Balıkesir Province, northwestern Turkey"
Abies nordmanniana," This subspecies occupies an area of only 164 km2 and is assessed as ""Endangered"""
Abies nordmanniana, Its shoots are usually glabrous (hairless)
Abies nordmanniana,"


== Uses ==
The Nordmann fir is one of the most important species grown for Christmas trees, being favoured for its attractive foliage, with needles that are not sharp and do not drop readily when the tree dries out"
Abies nordmanniana,"
It is also a popular ornamental tree in parks and large gardens, and along with the cultivar 'Golden Spreader' has gained the Royal Horticultural Society's Award of Garden Merit"
Abies nordmanniana,The tree has also in Europe been used for reforestation as a way to mitigate expected forest decline caused by climate changes
Abies nordmanniana,"The wood is soft and white, and is used for general construction, paper, etc"
Abies nordmanniana,"


== Gallery ==

		
		


== References ==


== External links ==
theplantlist"
Abies nordmanniana,"org: Abies nordmanniana (Steven) Spach
iucnredlist"
Abies nordmanniana,"org: Abies nordmanniana
iucnredlist"
Abies nordmanniana,org: Abies nordmanniana ssp
Abies nordmanniana," nordmanniana
iucnredlist"
Abies nordmanniana,org: Abies nordmanniana ssp
Abies nordmanniana," equi-trojani
Gymnosperm Database: Abies nordmanniana
conifersaroundtheworld"
Abies nordmanniana,"com: Abies nordmanniana NBG Belgium Meise
rhs"
Abies nordmanniana,org
Abies nordmanniana,"uk: Abies nordmanniana
Abies nordmanniana"
Abies nordmanniana," Distribution map, genetic conservation units and related resources"
Abies nordmanniana, European Forest Genetic Resources Programme (EUFORGEN)
Acer campestre,"Acer campestre, known as the field maple, is a flowering plant species in the family Sapindaceae"
Acer campestre," It is native to much of continental Europe, Britain, southwest Asia from Turkey to the Caucasus, and north Africa in the Atlas Mountains"
Acer campestre," It has been widely planted, and is introduced outside its native range in Europe and areas of USA and Western Australia with suitable climate"
Acer campestre,"


== Description ==
It is a deciduous tree reaching 15–25 m (49–82 ft) tall, with a trunk up to 1 m (3 ft 3 in) in diameter, with finely fissured, often somewhat corky bark"
Acer campestre," The shoots are brown, with dark brown winter buds"
Acer campestre," The leaves are in opposite pairs, 5–16 cm (2"
Acer campestre,0–6
Acer campestre,3 in) long (including the 3–9 cm (1
Acer campestre,2–3
Acer campestre,5 in) petiole) and 5–10 cm (2
Acer campestre,0–3
Acer campestre,"9 in) broad, with five blunt, rounded lobes with a smooth margin"
Acer campestre," Usually monoecious, the flowers are produced in spring at the same time as the leaves open, yellow-green, in erect clusters 4–6 cm (1"
Acer campestre,6–2
Acer campestre,"4 in) across, and are insect-pollinated"
Acer campestre," The fruit is a samara with two winged achenes aligned at 180°, each achene is 8–10 mm (0"
Acer campestre,31–0
Acer campestre,"39 in) wide, flat, with a 2 cm (0"
Acer campestre,79 in) wing
Acer campestre,"The two varieties, not accepted as distinct by all authorities, are:
Acer campestre var"
Acer campestre," campestre - downy fruit
Acer campestre var"
Acer campestre, leiocarpum (Opiz) Wallr
Acer campestre, (syn
Acer campestre, A
Acer campestre, campestre subsp
Acer campestre, leiocarpum) - hairless fruitThe closely related Acer miyabei replaces it in eastern Asia
Acer campestre,"


== Distribution ==
The native range of field maple includes much of Europe, including Denmark, Poland and Belarus, England north to southern Scotland (where it is the only native maple), southwest Asia from Turkey to the Caucasus, and north Africa in the Atlas Mountains"
Acer campestre," In many areas, the original native range is obscured by widespread planting and introductions"
Acer campestre," In North America it is known as hedge maple and in Australia, it is sometimes called common maple"
Acer campestre," In Nottinghamshire, England it was known locally as dog oak"
Acer campestre,"


== Ecology ==
Field maple is an intermediate species in the ecological succession of disturbed areas; it typically is not among the first trees to colonise a freshly disturbed area, but instead seeds in under the existing vegetation"
Acer campestre," It is very shade-tolerant during the initial stages of its life, but it has higher light requirements during its seed-bearing years"
Acer campestre," It exhibits rapid growth initially, but is eventually overtaken and replaced by other trees as the forest matures"
Acer campestre," It is most commonly found on neutral to alkaline soils, but more rarely on acidic soil"
Acer campestre,"Diseases include a leaf spot fungus Didymosporina aceris, a mildew Uncinula bicornis, a canker Nectria galligena, and verticillium wilt Verticillium alboatrum"
Acer campestre," The leaves are also sometimes damaged by gall mites in the genus Aceria, and the aphid Periphyllus villosus"
Acer campestre,"


== Cultivation ==

The field maple is widely grown as an ornamental tree in parks and large gardens"
Acer campestre," The wood is white, hard and strong, and used for furniture, flooring, wood turning and musical instruments, though the small size of the tree and its relatively slow growth make it an unimportant wood"
Acer campestre, It has an OPALS rating of 7
Acer campestre,It is locally naturalised in parts of the United States and more rarely in New Zealand
Acer campestre,"
The hybrid maple Acer × zoeschense has A"
Acer campestre, campestre as one of its parents
Acer campestre,The tree has gained the Royal Horticultural Society's Award of Garden Merit
Acer campestre,"


=== Cultivars ===
Over 30 cultivars of Acer campestre are known, selected for their foliage or habit, or occasionally both; several have been lost to cultivation"
Acer campestre,"


== Bonsai ==
Acer campestre (and the similar A"
Acer campestre, monspessulanum) are popular among bonsai enthusiasts
Acer campestre, The dwarf cultivar 'Microphyllum' is especially useful in this regard
Acer campestre, A
Acer campestre, campestre bonsai have an appearance distinct from those selected from some other maples such as A
Acer campestre," palmatum with more frilly, translucent, leaves"
Acer campestre, The shrubby habit and smallish leaves of A
Acer campestre, campestre respond well to techniques encouraging ramification and leaf reduction
Acer campestre,"


== Gallery ==

		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		


== References ==


== Further reading ==
Chybicki, Igor J"
Acer campestre,"; Waldon-Rudzionek, Barbara; Meyza, Katarzyna (December 2014)"
Acer campestre," ""Population at the edge: increased divergence but not inbreeding towards northern range limit in Acer campestre"""
Acer campestre, Tree Genetics & Genomes
Acer campestre, 10 (6): 1739–1753
Acer campestre, doi:10
Acer campestre,1007/s11295-014-0793-2
Acer campestre,"


== External links ==
Abies campestre - distribution map, genetic conservation units and related resources"
Acer campestre, European Forest Genetic Resources Programme (EUFORGEN)
Acer ginnala,"Acer ginnala, the Amur maple, is a  plant species with woody stems native to northeastern Asia from easternmost Mongolia east to Korea and Japan, and north to the Russian Far East in the Amur River valley"
Acer ginnala, It is a small maple with deciduous leaves that is sometimes grown as a garden subject or boulevard tree
Acer ginnala,"


== Description ==
Acer ginnala is a deciduous spreading shrub or small tree growing to 3–10 m (9"
Acer ginnala,8–32
Acer ginnala,"8 ft) tall, with a short trunk up to 20–40 cm (8–16 in) diameter and slender branches"
Acer ginnala," The bark is thin, dull gray-brown, and smooth at first but becoming shallowly fissured on old plants"
Acer ginnala," The leaves are opposite and simple, 4–10 cm (1 1⁄2–4 in) long and 3–6 cm (1 1⁄4–2 1⁄4 in) wide, deeply palmately lobed with three or five lobes, of which two small basal lobes (sometimes absent) and three larger apical lobes; the lobes are coarsely and irregularly toothed, and the upper leaf surface glossy"
Acer ginnala," The leaves turn brilliant orange to red in autumn, and are on slender, often pink-tinged, petioles 3–5 cm (1 1⁄4–2 in) long"
Acer ginnala," The flowers are yellow-green, 5–8 mm (0"
Acer ginnala,20–0
Acer ginnala,"31 in) diameter, produced in spreading panicles in spring as the leaves open"
Acer ginnala," The fruit is a paired reddish samara, 8–10 mm (0"
Acer ginnala,31–0
Acer ginnala,39 in) long with a 1
Acer ginnala,"5–2 cm (5⁄8–3⁄4 in) wing, maturing in late summer to early autumn"
Acer ginnala,"


== Taxonomy ==
Amur maple is closely related to Acer tataricum (Tatar maple), and some botanists treat it as a subspecies  A"
Acer ginnala, tataricum subsp
Acer ginnala, ginnala (Maxim
Acer ginnala,) Wesm
Acer ginnala," The glossy, deeply lobed leaves of A"
Acer ginnala, ginnala distinguish it from A
Acer ginnala," tataricum, which has matte, unlobed or only shallowly lobed leaves"
Acer ginnala,"


== Cultivation and uses ==
Acer ginnala is grown as an ornamental plant in northern regions of Europe and North America"
Acer ginnala," It is the most cold-tolerant maple, hardy to zone 2"
Acer ginnala, It is naturalised in parts of North America
Acer ginnala," Planted on exceptional sites facing south west with consistent moisture and light loamy soils, this tree can grow 3 to 4 feet per year making it a fast grower"
Acer ginnala,  It is often planted as a shrub along borders
Acer ginnala,In the UK it has gained the Royal Horticultural Society's Award of Garden Merit
Acer ginnala,It is also valued in Japan and elsewhere as a species suitable for bonsai
Acer ginnala,"
It is a nonnative invasive species in parts of northern America"
Acer ginnala,"


== Cultivars ==
Due to its vigor and fall colors of yellows and bright reds, the size being a small tree of 6 metres (20 feet) wide by 6 m tall on average, it suits many for smaller landscapes and for planting under power lines"
Acer ginnala,  Cultivars have emerged for those wanting these attributes
Acer ginnala,"

Flame (Fiery red autumn foliage, very strong vigor)


== References ==

Xu, Tingzhi; Chen, Yousheng; de Jong, Piet C"
Acer ginnala,"; Oterdoom, Herman John; Chang, Chin-Sung"
Acer ginnala," ""Acer tataricum subsp"
Acer ginnala," ginnala"""
Acer ginnala, Flora of China
Acer ginnala, 11 – via eFloras
Acer ginnala,"org, Missouri Botanical Garden, St"
Acer ginnala," Louis, MO & Harvard University Herbaria, Cambridge, MA"
Acer ginnala,"


== External links ==
 Data related to Acer ginnala at Wikispecies
Winter ID pictures"
Acer griseum,"Acer griseum (paperbark maple; simplified Chinese: 血皮枫; traditional Chinese: 血皮楓; pinyin: xuè pí fēng) is a species of flowering plant in the family Sapindaceae, native to central China"
Acer griseum," Acer griseum is found in the Chinese provinces of Gansu, Henan, Hubei, Hunan, Shaanxi, Shanxi and Sichuan, at altitudes of 1,500–2,000 m (4,921–6,562 ft)"
Acer griseum,"


== Description ==
It is a small to medium-sized deciduous tree, reaching 6–9 m (20–30 ft) tall and 5–6 m (16–20 ft) wide, with a trunk up to 70 cm (28 in) in circumference"
Acer griseum,"  The bark is smooth, shiny orange-red, peeling in thin, papery layers; it may become fissured in old trees"
Acer griseum," The shoots are densely downy at first, this wearing off by the second or third year and the bark exfoliating by the third or fourth year"
Acer griseum,"The leaves are compound, with a 2–4 cm petiole with three leaflets, each 3–10 cm long and 2–6 cm broad, dark green above, bright glaucous blue-green beneath, with several blunt teeth on the margins"
Acer griseum,"The yellow flowers are androdioecious, produced in small pendent corymbs in spring, the fruit being a paired samara with two winged seeds about 1 cm long with a 3 cm wing"
Acer griseum,"


== Cultivation and uses ==
Acer griseum was introduced to cultivation in Europe in 1901 by Ernest Henry Wilson for the Veitch Nurseries, and to North America shortly after"
Acer griseum, It is one of many species of maples widely grown as ornamental plants in temperate regions
Acer griseum," It is admired for its decorative exfoliating bark, translucent pieces of which often stay attached to the branches until worn away"
Acer griseum," It also has spectacular autumn foliage which can include red, orange and pink tones"
Acer griseum,"
This plant has gained the Royal Horticultural Society's Award of Garden Merit"
Acer griseum,"In 2015, the North America-China Plant Exploration Consortium (NACPEC) conducted an expedition specifically targeting Acer griseum for seed collection with the object of increasing the genetic diversity of plants in cultivation"
Acer griseum, Propagation of Acer griseum is somewhat difficult as seeds have the same parthenocarpic tendencies as those of Acer maximowiczianum
Acer griseum,"


== Photo gallery ==

		
		
		
		

		
		
		


== References ==


== External links ==
Del Tredici, Peter"
Acer griseum," ""The Paperbark Maple—One Hundred Years Later"
Acer griseum,""" Arnoldia 65 (2) (2007)"
Acer griseum,"
Meyer, Paul W"
Acer griseum," ""Paperbark Maple Acer griseum"
Acer griseum,""" Arnoldia 68 (2) (2010)"
Acer griseum,
Acer palmatum,"Acer palmatum, commonly known as red emperor maple, palmate maple, Japanese maple or smooth Japanese-maple (Japanese: irohamomiji, イロハモミジ, or momiji, 紅葉), is a species of woody plant native to Japan, Korea, China, eastern Mongolia, and southeast Russia"
Acer palmatum," Many different cultivars of this maple have been selected and they are grown worldwide for their large variety of attractive forms, leaf shapes, and spectacular colors"
Acer palmatum,"


== Description ==
Acer palmatum is a deciduous shrub or small tree reaching heights of 6 to 10 m (20 to 33 ft), rarely 16 metres (52 ft), often growing as an understory plant in shady woodlands"
Acer palmatum, It may have multiple trunks joining close to the ground
Acer palmatum," In habit, its canopy often takes on a dome-like form, especially when mature"
Acer palmatum," The leaves are 4–12 cm (1 1⁄2–4 3⁄4 in) long and wide, palmately lobed with five, seven, or nine acutely pointed lobes"
Acer palmatum," The flowers are produced in small cymes, the individual flowers with five red or purple sepals and five whitish petals"
Acer palmatum," The fruit is a pair of winged samaras, each samara 2–3 cm (3⁄4–1 1⁄4 in) long with a 6–8 mm (1⁄4–5⁄16 in) seed"
Acer palmatum, The seeds of Acer palmatum and similar species require stratification in order to germinate
Acer palmatum,"Even in nature, Acer palmatum displays considerable genetic variation, with seedlings from the same parent tree typically showing differences in such traits as leaf size, shape, and color"
Acer palmatum,  Overall form of the tree can vary from upright to weeping
Acer palmatum,"Three subspecies are recognised:
Acer palmatum subsp"
Acer palmatum, palmatum
Acer palmatum," Leaves small, 4–7 cm (1 1⁄2–2 3⁄4 in) wide, with five or seven lobes and double-serrate margins; seed wings 10–15 mm (3⁄8–5⁄8 in)"
Acer palmatum, Lower altitudes throughout central and southern Japan (not Hokkaido)
Acer palmatum,"
Acer palmatum subsp"
Acer palmatum, amoenum (Carrière) H
Acer palmatum,Hara
Acer palmatum," Leaves larger, 6–12 cm (2 1⁄4–4 3⁄4 in) wide, with seven or nine lobes and single-serrate margins; seed wings 20–25 mm (3⁄4–1 in)"
Acer palmatum, Higher altitudes throughout Japan and South Korea
Acer palmatum,"
Acer palmatum subsp"
Acer palmatum, matsumurae Koidz
Acer palmatum," Leaves larger, 6–12 cm (2 1⁄4–4 3⁄4 in) wide, with seven (rarely five or nine) lobes and double-serrate margins; seed wings 15–25 mm (5⁄8–1 in)"
Acer palmatum, Higher altitudes throughout Japan
Acer palmatum,"


== Cultivation and uses ==

Acer palmatum has been cultivated in Japan for centuries and in temperate areas around the world since the 1800s"
Acer palmatum, The first specimen of the tree reached Britain in 1820
Acer palmatum,"
When Swedish doctor-botanist Carl Peter Thunberg traveled in Japan late in the eighteenth century, he secreted out drawings of a small tree that would eventually become synonymous with the high art of oriental gardens"
Acer palmatum," He gave it the species name palmatum after the hand-like shape of its leaves, similar to the centuries-old Japanese names kaede and momiji, references to the 'hands' of frogs and babies, respectively"
Acer palmatum,"
Japanese horticulturalists have long developed cultivars from maples found in Japan and nearby Korea and China"
Acer palmatum, They are a popular choice for bonsai enthusiasts and have long been a subject in art
Acer palmatum,"
Numerous cultivars are popular in Europe and North America, with red-leafed favored, followed by cascading green shrubs with deeply dissected leaves"
Acer palmatum,Preparations from the branches and leaves are used as a treatment in traditional Chinese medicine
Acer palmatum,"


=== Growing conditions ===

Acer palmatum includes hundreds of named cultivars with a variety forms, colors, leaf types, sizes, and preferred growing conditions"
Acer palmatum, Heights of mature specimens range from 0
Acer palmatum,"5 to 25 m (1 1⁄2 to 82 ft), depending on type"
Acer palmatum," Some tolerate sun, but most prefer part shade, especially in hotter climates"
Acer palmatum, Almost all are adaptable and blend well with companion plants
Acer palmatum, The trees are particularly suitable for borders and ornamental paths because the root systems are compact and not invasive
Acer palmatum,  Many varieties of Acer palmatum are successfully grown in containers
Acer palmatum,  Trees are prone to die during periods of drought and prefer consistent water conditions; more established trees are less prone to drought
Acer palmatum,  Trees should be mulched with a thick layer of bark
Acer palmatum,  Well-drained soil is essential as they will not survive in soggy waterlogged soil
Acer palmatum," Trees do not require or appreciate heavy fertilization and should only be lightly fertilized, preferably using slow-release fertilizer with a 3 to 1 ratio of nitrogen to phosphorus respectively"
Acer palmatum,  Nitrogen lawn fertilizer should be avoided in the immediate vicinity of these trees as excessive nitrogen can cause overly vigorous growth that is prone to pathogens
Acer palmatum,"


=== Pruning ===

If space is not a constraint, no pruning is necessary except to remove any dead branches"
Acer palmatum,"  Trees naturally self-prune foliage that doesn't receive enough light, such as internal branches which are overly shaded by its own canopy"
Acer palmatum,  Some growers prefer to shape their trees artistically or to thin out interior branches to better expose the graceful main branches
Acer palmatum," The form of the tree, especially without leaves in winter, can be of great interest and can be pruned to highlight this feature"
Acer palmatum,  Trees heal readily after pruning without needing aftercare
Acer palmatum,"  This species should not be pruned like a hedge, but instead methodically shaped by carefully choosing individual branches to remove"
Acer palmatum,  They can also be pruned just to maintain a smaller size to suit a particular location
Acer palmatum,  Acer palmatum can also be used as espalier
